time,magnitude,longitude,latitude,depth(m),sigma_time,sigma_amp,cov_time_amp,gamma_score,event_index
2021-09-25T00:00:19.032,1.161,-161.186,55.264,146.950,0.948,0.275,-0.034,6.000,1
2021-09-25T01:39:32.482,1.027,-162.141,55.042,0.000,0.978,0.301,0.116,10.994,2
2021-09-25T01:57:55.902,0.713,-161.842,55.353,29605.295,0.000,0.304,-0.000,3.000,3
2021-09-25T02:02:38.286,0.937,-161.427,55.087,0.000,0.969,0.307,-0.198,5.000,4
2021-09-25T02:13:52.236,0.267,-162.126,55.232,7457.127,0.000,0.309,0.000,4.000,5
2021-09-25T02:16:08.015,1.067,-161.815,54.978,0.000,0.339,0.311,-0.005,5.000,6
2021-09-25T02:16:50.604,0.917,-161.658,55.429,35922.342,0.410,0.279,0.033,4.000,7
2021-09-25T05:58:20.803,0.817,-161.714,54.905,0.000,0.659,0.128,0.033,4.676,8
2021-09-25T05:58:52.299,0.958,-161.494,54.964,0.000,0.833,0.163,0.177,4.934,9
2021-09-25T06:33:07.584,0.811,-161.997,55.545,12905.331,0.000,0.249,-0.000,3.555,10
2021-09-25T06:33:12.628,1.056,-161.596,54.905,0.000,1.018,0.332,-0.026,6.411,11
