id,id,timestamp,timestamp,type,type,prob,phase_amplitude,phase_amplitude,event_idx,prob_gamma
AV.DEER..BH,AV.DEER..BH,2021-09-25T05:58:26.600000,2021-09-25T05:58:26.600000,P,P,0.322,5.763092190136376e-07,5.763092190136376e-07,8,0.0010873314245693584
AV.DEER..BH,AV.DEER..BH,2021-09-25T06:33:19.000000,2021-09-25T06:33:19.000000,P,P,0.915,6.697298999824852e-07,6.697298999824852e-07,10,0.0010873314245693584
AV.DEER..BH,AV.DEER..BH,2021-09-25T06:49:07.360000,2021-09-25T06:49:07.360000,P,P,0.545,6.445468443416758e-07,6.445468443416758e-07,-1,-1.0
AV.DEER..BH,AV.DEER..BH,2021-09-25T06:50:42.440000,2021-09-25T06:50:42.440000,P,P,0.771,5.706721140086302e-07,5.706721140086302e-07,-1,-1.0
AV.DEER..BH,AV.DEER..BH,2021-09-25T00:00:40.520000,2021-09-25T00:00:40.520000,S,S,0.416,8.763599339545181e-07,8.763599339545181e-07,1,0.0010873314245693584
AV.DEER..BH,AV.DEER..BH,2021-09-25T00:42:27.860000,2021-09-25T00:42:27.860000,S,S,0.382,6.462629471570835e-07,6.462629471570835e-07,-1,-1.0
AV.DEER..BH,AV.DEER..BH,2021-09-25T00:44:23.520000,2021-09-25T00:44:23.520000,S,S,0.542,4.679054086409451e-07,4.679054086409451e-07,-1,-1.0
AV.DEER..BH,AV.DEER..BH,2021-09-25T01:12:08.040000,2021-09-25T01:12:08.040000,S,S,0.624,7.689130825383472e-07,7.689130825383472e-07,-1,-1.0
AV.DEER..BH,AV.DEER..BH,2021-09-25T05:59:07.220000,2021-09-25T05:59:07.220000,S,S,0.373,7.899720344539674e-07,7.899720344539674e-07,9,0.0010873314245693584
AV.DEER..BH,AV.DEER..BH,2021-09-25T06:34:13.280000,2021-09-25T06:34:13.280000,S,S,0.624,5.573169232775399e-07,5.573169232775399e-07,-1,-1.0
AV.DEER..BH,AV.DEER..BH,2021-09-25T06:51:02.240000,2021-09-25T06:51:02.240000,S,S,0.797,1.063711010829138e-06,1.063711010829138e-06,-1,-1.0
AV.DOL..BH,AV.DOL..BH,2021-09-25T00:40:55.820000,2021-09-25T00:40:55.820000,P,P,0.511,4.70594017087933e-07,4.70594017087933e-07,-1,-1.0
AV.DOL..BH,AV.DOL..BH,2021-09-25T05:28:50.200000,2021-09-25T05:28:50.200000,P,P,0.663,6.082512982175103e-07,6.082512982175103e-07,-1,-1.0
AV.DOL..BH,AV.DOL..BH,2021-09-25T05:58:23.020000,2021-09-25T05:58:23.020000,P,P,0.862,5.675354941558908e-07,5.675354941558908e-07,-1,-1.0
AV.DOL..BH,AV.DOL..BH,2021-09-25T06:33:15.380000,2021-09-25T06:33:15.380000,P,P,0.929,9.858187013378483e-07,9.858187013378483e-07,10,0.002569910212528944
AV.DOL..BH,AV.DOL..BH,2021-09-25T06:49:04.800000,2021-09-25T06:49:04.800000,P,P,0.638,4.691721073868394e-07,4.691721073868394e-07,-1,-1.0
AV.DOL..BH,AV.DOL..BH,2021-09-25T06:50:45.660000,2021-09-25T06:50:45.660000,P,P,0.925,5.919924888075911e-07,5.919924888075911e-07,-1,-1.0
AV.DOL..BH,AV.DOL..BH,2021-09-25T09:05:45.800000,2021-09-25T09:05:45.800000,P,P,0.603,8.07750666353968e-07,8.07750666353968e-07,-1,-1.0
AV.DOL..BH,AV.DOL..BH,2021-09-25T00:42:15.800000,2021-09-25T00:42:15.800000,S,S,0.322,6.808675721003965e-07,6.808675721003965e-07,-1,-1.0
AV.DOL..BH,AV.DOL..BH,2021-09-25T00:44:11.400000,2021-09-25T00:44:11.400000,S,S,0.6,7.696041279814381e-07,7.696041279814381e-07,-1,-1.0
AV.DOL..BH,AV.DOL..BH,2021-09-25T01:11:53.460000,2021-09-25T01:11:53.460000,S,S,0.703,6.99200029430358e-07,6.99200029430358e-07,-1,-1.0
AV.DOL..BH,AV.DOL..BH,2021-09-25T04:19:37.140000,2021-09-25T04:19:37.140000,S,S,0.479,9.59863768912328e-07,9.59863768912328e-07,-1,-1.0
AV.DOL..BH,AV.DOL..BH,2021-09-25T05:20:37.320000,2021-09-25T05:20:37.320000,S,S,0.428,5.467825872074172e-07,5.467825872074172e-07,-1,-1.0
AV.DOL..BH,AV.DOL..BH,2021-09-25T05:58:59.360000,2021-09-25T05:58:59.360000,S,S,0.508,1.1344865242790547e-06,1.1344865242790547e-06,-1,-1.0
AV.DOL..BH,AV.DOL..BH,2021-09-25T06:33:52.660000,2021-09-25T06:33:52.660000,S,S,0.733,1.5282129197657923e-06,1.5282129197657923e-06,-1,-1.0
AV.DOL..BH,AV.DOL..BH,2021-09-25T06:40:32.040000,2021-09-25T06:40:32.040000,S,S,0.35,6.796546472287446e-07,6.796546472287446e-07,-1,-1.0
AV.DOL..BH,AV.DOL..BH,2021-09-25T06:51:08.380000,2021-09-25T06:51:08.380000,S,S,0.805,1.2353715419521905e-06,1.2353715419521905e-06,-1,-1.0
AV.DOL..BH,AV.DOL..BH,2021-09-25T08:22:19.860000,2021-09-25T08:22:19.860000,S,S,0.695,8.227971193264239e-07,8.227971193264239e-07,-1,-1.0
AV.DT1..BH,AV.DT1..BH,2021-09-25T00:00:31.260000,2021-09-25T00:00:31.260000,P,P,0.686,6.93497383963404e-07,6.93497383963404e-07,1,0.002569910212528944
AV.DT1..BH,AV.DT1..BH,2021-09-25T00:41:03.000000,2021-09-25T00:41:03.000000,P,P,0.304,4.136540781018994e-07,4.136540781018994e-07,-1,-1.0
AV.DT1..BH,AV.DT1..BH,2021-09-25T01:12:06.280000,2021-09-25T01:12:06.280000,P,P,0.421,7.218416158139007e-07,7.218416158139007e-07,-1,-1.0
AV.DT1..BH,AV.DT1..BH,2021-09-25T02:45:39.100000,2021-09-25T02:45:39.100000,P,P,0.311,5.691161959475721e-07,5.691161959475721e-07,-1,-1.0
AV.DT1..BH,AV.DT1..BH,2021-09-25T03:57:43.720000,2021-09-25T03:57:43.720000,P,P,0.326,4.520100276295125e-07,4.520100276295125e-07,-1,-1.0
AV.DT1..BH,AV.DT1..BH,2021-09-25T05:29:27.900000,2021-09-25T05:29:27.900000,P,P,0.682,5.71269254123763e-07,5.71269254123763e-07,-1,-1.0
AV.DT1..BH,AV.DT1..BH,2021-09-25T05:58:27.740000,2021-09-25T05:58:27.740000,P,P,0.647,6.885617835905578e-07,6.885617835905578e-07,8,0.002569910212528944
AV.DT1..BH,AV.DT1..BH,2021-09-25T06:33:20.620000,2021-09-25T06:33:20.620000,P,P,0.952,7.004613848948793e-07,7.004613848948793e-07,11,0.0010873314245693584
AV.DT1..BH,AV.DT1..BH,2021-09-25T06:50:42.200000,2021-09-25T06:50:42.200000,P,P,0.948,4.670129669648304e-07,4.670129669648304e-07,-1,-1.0
AV.DT1..BH,AV.DT1..BH,2021-09-25T09:11:11.500000,2021-09-25T09:11:11.500000,P,P,0.351,5.319131446412939e-07,5.319131446412939e-07,-1,-1.0
AV.DT1..BH,AV.DT1..BH,2021-09-25T05:59:08.820000,2021-09-25T05:59:08.820000,S,S,0.667,9.60111606218561e-07,9.60111606218561e-07,9,0.002569910212528944
AV.DT1..BH,AV.DT1..BH,2021-09-25T06:34:02.440000,2021-09-25T06:34:02.440000,S,S,0.328,8.962085757957539e-07,8.962085757957539e-07,-1,-1.0
AV.DT1..BH,AV.DT1..BH,2021-09-25T06:51:01.980000,2021-09-25T06:51:01.980000,S,S,0.864,8.245876870205393e-07,8.245876870205393e-07,-1,-1.0
AV.DTN..BH,AV.DTN..BH,2021-09-25T02:45:39.100000,2021-09-25T02:45:39.100000,P,P,0.462,7.603900371577765e-07,7.603900371577765e-07,-1,-1.0
AV.DTN..BH,AV.DTN..BH,2021-09-25T05:58:29.100000,2021-09-25T05:58:29.100000,P,P,0.594,1.100296685763169e-06,1.100296685763169e-06,8,1.9525778079438133e-05
AV.DTN..BH,AV.DTN..BH,2021-09-25T06:33:21.540000,2021-09-25T06:33:21.540000,P,P,0.922,8.357393426194903e-07,8.357393426194903e-07,11,0.002569910212528944
AV.DTN..BH,AV.DTN..BH,2021-09-25T00:00:40.500000,2021-09-25T00:00:40.500000,S,S,0.36,6.449909051298164e-07,6.449909051298164e-07,1,1.9525778079438133e-05
AV.DTN..BH,AV.DTN..BH,2021-09-25T01:12:06.760000,2021-09-25T01:12:06.760000,S,S,0.568,8.754116720410821e-07,8.754116720410821e-07,-1,-1.0
AV.DTN..BH,AV.DTN..BH,2021-09-25T06:34:05.120000,2021-09-25T06:34:05.120000,S,S,0.474,1.6055479363785707e-06,1.6055479363785707e-06,-1,-1.0
AV.HAG..SH,AV.HAG..SH,2021-09-25T00:00:00.020000,2021-09-25T00:00:00.020000,P,P,0.553,2.0511593845640166e-07,2.0511593845640166e-07,-1,-1.0
AV.HAG..SH,AV.HAG..SH,2021-09-25T02:22:06.600000,2021-09-25T02:22:06.600000,P,P,0.711,1.1852475836349186e-06,1.1852475836349186e-06,-1,-1.0
AV.HAG..SH,AV.HAG..SH,2021-09-25T05:58:28.160000,2021-09-25T05:58:28.160000,P,P,0.649,6.08048480899015e-07,6.08048480899015e-07,8,5.668564786274356e-06
AV.HAG..SH,AV.HAG..SH,2021-09-25T06:33:20.080000,2021-09-25T06:33:20.080000,P,P,0.692,6.118523288023425e-07,6.118523288023425e-07,11,1.9525778079438133e-05
AV.HAG..SH,AV.HAG..SH,2021-09-25T06:50:47.960000,2021-09-25T06:50:47.960000,P,P,0.428,2.517875543617265e-07,2.517875543617265e-07,-1,-1.0
AV.HAG..SH,AV.HAG..SH,2021-09-25T07:18:52.800000,2021-09-25T07:18:52.800000,P,P,0.413,2.333029840428935e-07,2.333029840428935e-07,-1,-1.0
AV.HAG..SH,AV.HAG..SH,2021-09-25T00:00:32.800000,2021-09-25T00:00:32.800000,S,S,0.329,3.763506697396224e-07,3.763506697396224e-07,1,5.668564786274356e-06
AV.HAG..SH,AV.HAG..SH,2021-09-25T01:26:25.680000,2021-09-25T01:26:25.680000,S,S,0.314,1.682681727288582e-07,1.682681727288582e-07,-1,-1.0
AV.HAG..SH,AV.HAG..SH,2021-09-25T02:09:03.460000,2021-09-25T02:09:03.460000,S,S,0.303,3.315882679544302e-07,3.315882679544302e-07,-1,-1.0
AV.HAG..SH,AV.HAG..SH,2021-09-25T02:13:57.640000,2021-09-25T02:13:57.640000,S,S,0.36,2.9747610597041785e-07,2.9747610597041785e-07,5,0.0010873314245693584
AV.PN7A..BH,AV.PN7A..BH,2021-09-25T01:39:40.240000,2021-09-25T01:39:40.240000,P,P,0.555,1.7451359326514648e-06,1.7451359326514648e-06,2,0.0010873314245693584
AV.PN7A..BH,AV.PN7A..BH,2021-09-25T01:58:01.440000,2021-09-25T01:58:01.440000,P,P,0.386,1.5144584040172049e-06,1.5144584040172049e-06,3,0.0010873314245693584
AV.PN7A..BH,AV.PN7A..BH,2021-09-25T02:02:45.320000,2021-09-25T02:02:45.320000,P,P,0.442,1.138083007390378e-06,1.138083007390378e-06,4,0.0010873314245693584
AV.PN7A..BH,AV.PN7A..BH,2021-09-25T02:13:56.440000,2021-09-25T02:13:56.440000,P,P,0.497,1.0698333881009605e-06,1.0698333881009605e-06,5,0.002569910212528944
