network,station,channel,latitude,longitude,elevation
AV,DEER,BHE,54.97127,-162.32437,392.3
AV,DEER,BHN,54.97127,-162.32437,392.3
AV,DEER,BHZ,54.97127,-162.32437,392.3
AV,DOL,BHE,55.149621,-161.86472,453.0
AV,DOL,BHN,55.149621,-161.86472,453.0
AV,DOL,BHZ,55.149621,-161.86472,453.0
AV,DT1,BHE,55.10627,-162.28313,198.0
AV,DT1,BHN,55.10627,-162.28313,198.0
AV,DT1,BHZ,55.10627,-162.28313,198.0
AV,DTN,BHE,55.1448,-162.259,396.0
AV,DTN,BHN,55.1448,-162.259,396.0
AV,DTN,BHZ,55.1448,-162.259,396.0
AV,HAG,SHE,55.31686,-161.90439,515.4
AV,HAG,SHN,55.31686,-161.90439,515.4
AV,HAG,SHZ,55.31686,-161.90439,515.4
AV,PN7A,BHE,55.4329,-161.9973,838.0
AV,PN7A,BHN,55.4329,-161.9973,838.0
AV,PN7A,BHZ,55.4329,-161.9973,838.0
AV,PS1A,BHE,55.42005,-161.74373,282.5
AV,PS1A,BHN,55.42005,-161.74373,282.5
AV,PS1A,BHZ,55.42005,-161.74373,282.5
AV,PS4A,BHE,55.34604,-161.85648,326.7
AV,PS4A,BHN,55.34604,-161.85648,326.7
AV,PS4A,BHZ,55.34604,-161.85648,326.7
AV,PV6A,SHE,55.507,-161.9714,352.0
AV,PV6A,SHN,55.507,-161.9714,352.0
AV,PV6A,SHZ,55.507,-161.9714,352.0
AV,PVV,SHE,55.37312,-161.79192,164.0
AV,PVV,SHN,55.37312,-161.79192,164.0
AV,PVV,SHZ,55.37312,-161.79192,164.0
AV,S12K,BHE,55.702988,-162.066971,399.0
AV,S12K,BHN,55.702988,-162.066971,399.0
AV,S12K,BHZ,55.702988,-162.066971,399.0
