time,magnitude,longitude,latitude,depth(m),sigma_time,sigma_amp,cov_time_amp,gamma_score,event_index
2021-01-01T08:31:49.150,1.879,-161.090,54.902,53225.937,0.190,0.276,0.009,6.000,1
2021-01-01T08:31:58.250,1.906,-161.197,54.903,57070.733,0.570,0.301,-0.049,6.000,2
2021-01-01T11:56:45.941,1.913,-161.616,54.905,61000.000,0.806,0.356,-0.063,11.000,3
2021-01-01T12:15:44.858,1.487,-161.518,55.034,43564.795,0.000,0.447,0.000,4.000,4
2021-01-01T12:35:11.610,1.644,-161.923,54.905,61000.000,0.643,0.355,-0.102,11.000,5
2021-01-01T12:44:00.430,2.136,-161.035,54.902,48167.332,0.207,0.288,0.003,8.000,6
2021-01-01T12:44:09.646,2.435,-161.133,54.903,52206.758,0.434,0.183,0.003,9.000,7
2021-01-01T12:47:51.881,1.949,-161.040,54.902,45639.199,0.202,0.416,0.010,7.000,8
2021-01-01T12:48:06.054,1.739,-161.006,55.002,5069.819,0.365,0.353,0.006,5.000,9
2021-01-01T14:58:07.230,1.350,-161.352,55.320,52753.738,0.215,0.352,-0.046,5.000,10
