time,magnitude,longitude,latitude,depth(m),sigma_time,sigma_amp,cov_time_amp,gamma_score,event_index,event_id
2021-05-16T00:53:06.802,0.934,-161.484,55.004,29345.871,0.261,0.28,0.021,7.0,2,20210516T000000_2
2021-05-16T00:53:18.974,1.973,-161.214,54.903,54255.908,0.362,0.27,0.004,6.489,3,20210516T000000_3
2021-05-16T01:06:36.748,0.608,-161.859,55.026,0.0,0.391,0.234,0.039,6.0,4,20210516T000000_4
2021-05-16T01:09:06.530,0.899,-162.115,55.173,0.0,0.33,0.346,-0.03,6.298,5,20210516T000000_5
2021-05-16T01:33:38.941,1.523,-161.458,55.122,53769.156,0.509,0.31,0.003,8.0,6,20210516T000000_6
2021-05-16T02:20:02.940,0.384,-162.008,55.164,16203.386,0.006,0.222,0.0,5.0,7,20210516T000000_7
2021-05-16T02:27:53.458,0.223,-161.446,55.394,1909.269,0.418,0.307,0.076,5.0,8,20210516T000000_8
2021-05-16T04:52:24.716,0.677,-161.288,55.438,2530.634,0.036,0.359,0.008,4.0,9,20210516T000000_9
2021-05-16T07:19:34.832,1.111,-161.008,54.902,3092.67,0.17,0.431,-0.026,5.0,10,20210516T000000_10
2021-05-16T08:16:24.197,0.622,-162.08,55.195,0.0,0.374,0.228,-0.056,4.0,1,20210516T080000_1
2021-05-16T08:26:13.340,1.512,-161.777,55.265,61000.0,0.138,0.047,0.016,4.191,3,20210516T080000_3
2021-05-16T08:26:15.102,0.663,-162.233,55.484,45069.803,0.352,0.427,-0.034,4.809,2,20210516T080000_2
2021-05-16T08:39:50.494,1.291,-161.21,54.903,61000.0,0.508,0.383,-0.104,6.926,4,20210516T080000_4
2021-05-16T13:25:13.250,0.242,-161.564,55.286,28082.966,0.068,0.417,0.011,5.0,5,20210516T080000_5
2021-05-16T13:30:07.766,0.558,-162.254,54.993,0.0,0.48,0.588,-0.044,7.763,6,20210516T080000_6
2021-05-16T13:53:42.487,0.818,-162.114,55.35,33773.786,0.567,0.282,-0.045,6.319,7,20210516T080000_7
2021-05-16T14:13:06.903,0.884,-161.846,55.316,45081.905,0.341,0.377,-0.044,7.312,8,20210516T080000_8
2021-05-16T14:18:31.956,1.413,-162.773,54.902,61000.0,1.142,0.174,-0.037,10.0,9,20210516T080000_9
2021-05-16T14:21:21.560,1.322,-161.238,54.903,57344.202,0.283,0.322,0.026,7.0,10,20210516T080000_10
2021-05-16T14:21:35.695,1.241,-161.337,54.904,35622.116,0.222,0.233,-0.003,6.0,11,20210516T080000_11
2021-05-16T15:47:55.978,1.918,-161.309,54.904,61000.0,0.534,0.131,0.02,10.975,12,20210516T080000_12
2021-05-16T15:48:11.085,2.052,-161.839,54.99,61000.0,0.7,0.121,-0.037,5.896,13,20210516T080000_13
2021-05-16T16:14:24.541,1.788,-162.796,55.918,61000.0,0.335,0.291,0.041,5.02,1,20210516T160000_1
2021-05-16T16:14:45.884,0.84,-161.779,55.184,14459.33,0.0,0.298,-0.0,3.98,2,20210516T160000_2
2021-05-16T16:16:55.022,1.415,-162.773,54.902,61000.0,0.95,0.088,0.022,6.024,3,20210516T160000_3
2021-05-16T17:39:54.974,0.835,-161.658,55.05,37576.196,0.0,0.27,0.0,4.0,4,20210516T160000_4
2021-05-16T18:12:15.436,0.06,-162.352,54.994,134.691,0.211,0.562,-0.015,5.0,5,20210516T160000_5
2021-05-16T18:12:19.244,0.949,-162.633,54.903,8314.362,0.476,0.354,-0.073,6.0,6,20210516T160000_6
2021-05-16T18:17:58.839,0.858,-161.25,54.99,20715.602,0.0,0.284,-0.0,4.0,7,20210516T160000_7
2021-05-16T18:18:12.773,0.998,-161.322,55.055,21525.826,0.0,0.225,-0.0,4.0,8,20210516T160000_8
2021-05-16T18:54:44.458,1.396,-161.145,54.903,43622.048,0.211,0.217,-0.008,7.0,9,20210516T160000_9
2021-05-16T18:54:55.660,1.288,-161.245,54.903,46616.538,0.558,0.263,0.007,6.0,10,20210516T160000_10
2021-05-16T20:19:14.627,0.987,-162.067,55.346,34907.829,0.652,0.289,-0.099,10.0,11,20210516T160000_11
2021-05-16T21:36:25.875,2.116,-161.008,54.906,61000.0,0.328,0.158,0.01,11.0,12,20210516T160000_12
2021-05-16T21:36:34.400,2.432,-161.008,54.905,55425.279,0.765,0.249,-0.021,11.0,13,20210516T160000_13
2021-05-16T21:59:23.755,0.683,-161.355,55.345,25529.887,0.298,0.425,0.042,9.0,14,20210516T160000_14
2021-05-16T22:14:27.005,1.17,-161.915,55.071,42831.523,0.204,0.231,-0.017,4.883,15,20210516T160000_15
2021-05-16T22:26:45.199,0.678,-162.248,55.161,29065.542,0.384,0.354,-0.179,7.0,16,20210516T160000_16
2021-05-16T23:43:20.116,2.072,-162.773,54.902,61000.0,1.211,0.342,-0.122,20.0,17,20210516T160000_17
2021-05-17T00:24:52.901,1.548,-162.783,55.388,61000.0,0.586,0.104,0.027,5.0,1,20210517T000000_1
