id,timestamp,type,prob,phase_amplitude,event_idx,prob_gamma,event_id
AV.DEER..BH,2021-05-16T01:33:52.320000,P,0.454,1.299207042393391e-06,6,0.008990488701904,20210516T000000_6
AV.DEER..BH,2021-05-16T01:06:45.120000,S,0.306,9.460647447667724e-07,4,0.008990488701904,20210516T000000_4
AV.DOL..BH,2021-05-16T00:00:00.020000,P,0.424,7.97841266830801e-07,1,0.008990488701904,20210516T000000_1
AV.DOL..BH,2021-05-16T00:53:13.920000,P,0.573,1.1721340342774056e-06,2,0.008990488701904,20210516T000000_2
AV.DOL..BH,2021-05-16T01:33:47.900000,P,0.821,1.2582040653796869e-06,6,0.0031255258255586,20210516T000000_6
AV.DOL..BH,2021-05-16T00:53:40.100000,S,0.659,4.348746188043151e-06,3,0.008990488701904,20210516T000000_3
AV.DOL..BH,2021-05-16T01:06:40.160000,S,0.442,2.4022372144827382e-06,4,0.0031255258255586,20210516T000000_4
AV.DOL..BH,2021-05-16T01:33:56.820000,S,0.603,1.559304337206413e-06,6,0.0035737741615153,20210516T000000_6
AV.DT1..BH,2021-05-16T00:53:16.560000,P,0.533,8.019383130886126e-07,2,0.0031255258255586,20210516T000000_2
AV.DT1..BH,2021-05-16T01:33:51.720000,P,0.527,1.09094924027886e-06,6,0.0198752632060607,20210516T000000_6
AV.DT1..BH,2021-05-16T00:53:44.540000,S,0.668,1.625341269573255e-06,3,0.0031255258255586,20210516T000000_3
AV.DT1..BH,2021-05-16T01:34:00.520000,S,0.349,1.1522789691298383e-06,6,0.0039110871621418,20210516T000000_6
AV.DTN..BH,2021-05-16T00:53:16.860000,P,0.365,1.541305323371489e-06,2,0.0035737741615153,20210516T000000_2
AV.DTN..BH,2021-05-16T01:33:51.960000,P,0.561,1.3824752613800229e-06,6,0.0161002401925272,20210516T000000_6
AV.DTN..BH,2021-05-16T07:19:48.840000,P,0.678,1.4127609802017105e-06,10,0.008990488701904,20210516T000000_10
AV.DTN..BH,2021-05-16T00:53:45.580000,S,0.711,3.61898628398194e-06,3,0.0035737741615153,20210516T000000_3
AV.DTN..BH,2021-05-16T01:06:45.440000,S,0.58,2.2086658191255992e-06,4,0.0035737741615153,20210516T000000_4
AV.DTN..BH,2021-05-16T01:34:00.000000,S,0.361,1.8730579540715555e-06,6,0.0042322467799247,20210516T000000_6
AV.HAG..SH,2021-05-16T00:00:00.540000,P,0.355,8.808232365709048e-08,1,0.0031255258255586,20210516T000000_1
AV.HAG..SH,2021-05-16T00:53:15.960000,P,0.843,6.646912424912443e-07,2,0.0198752632060607,20210516T000000_2
AV.HAG..SH,2021-05-16T01:06:44.820000,P,0.515,7.025601007626392e-07,-1,-1.0,20210516T000000_-1
